name,developers,appid,type,price,ratings,release date,genres,platforms
"Alpine, freeride journey",['Klzone'],3035970,game,$0.00,0,Coming Soon,"['Action', 'Sports']",['windows']
KELDER Demo,"['THOs Dev', 'Mad Muffin Studios']",3036000,demo,$0.00,0,"Aug 8, 2024",[],['windows']
Flash Diving Demo,['Paraxodon'],3036070,demo,$0.00,0,"Jun 9, 2024",[],['windows']
Hermit and Pig Demo,['Heavy Lunch Studio LLC'],3036090,demo,$0.00,0,"Jun 11, 2024",[],"['windows', 'mac']"
Spellslinger Demo,['Doobyredwizard'],3036110,demo,$0.00,0,"Jun 10, 2024",[],['windows']
Isabella: Chasing Shadows Demo,['Badtimetales'],3036120,demo,$0.00,0,"Nov 26, 2024",[],['windows']
Pawn Shop Simulator: Prologue,['Silent Parrot Studio SRL'],3036140,demo,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'Simulation']",['windows']
Afternoon of Resurrection,['Kilmatsu'],3036150,game,$0.99,0,"Aug 15, 2024",['Indie'],['windows']
Straight Up Poker SE,['Jon Wolfe'],3036170,game,$29.99,0,"Sep 5, 2024","['Casual', 'Strategy', 'Early Access']","['windows', 'mac', 'linux']"
LlamaRPG Playtest,[],3036240,game,$0.00,0,"Jun 6, 2024",[],['windows']
Viva Veloce Demo,['Yakamoz Studios'],3036250,demo,$0.00,0,"Jun 9, 2024",[],['windows']
Chimp Memory,"[""Windmill's Light""]",3036280,game,$1.19,0,"Nov 1, 2024","['Casual', 'Indie', 'Simulation']",['windows']
Rush Delivery Demo,['Jianghui Dai'],3036290,demo,$0.00,0,"Jun 13, 2024",[],['windows']
Life Codex,['Noc Amok'],3036310,game,$0.00,0,Coming Soon,['Adventure'],['windows']
My Last Stand: Survivors,['ZHR'],3036320,game,$3.19,0,"Jul 13, 2024","['Action', 'Casual', 'Indie', 'RPG', 'Early Access']",['windows']
Chaos Rush : Tower Defense,['MasterGames Co;Ltd;'],3036330,game,$9.99,0,"Dec 2, 2024",['Strategy'],['windows']
Crossedland Demo,['Tasteful Soup'],3036340,demo,$0.00,0,"Jun 9, 2024",[],['windows']
A Case of Fraud,['Hesperus Games'],3036350,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']",['windows']
Heaven Crawler,"['Carbon Machina', 'Critical Slash']",3036360,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'RPG']",['windows']
Turtle Champs,['ThatCarrotFella'],3036380,game,$0.00,0,"Jul 4, 2024","['Action', 'Casual', 'Indie', 'Sports', 'Free To Play']",['windows']
PSEUDOKU,['KristophersVictory'],3036390,game,$3.59,0,"Jul 14, 2024",['Indie'],['windows']
Sound of Slash,['Ussistant Studio'],3036410,game,$0.00,0,"Aug 31, 2024","['Action', 'Indie', 'Free To Play', 'Early Access']",['windows']
Robo Ride & Glide,['Isaac Kasdorf'],3036440,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'Racing']",['windows']
Fantasy Football Tactics,['John Lansing'],3035460,game,$0.00,0,Coming Soon,"['Indie', 'RPG', 'Sports', 'Strategy']","['windows', 'mac']"
Vainly Playtest,[],3035470,game,$0.00,0,"Jun 7, 2024",[],['windows']
Visions of Mana: Deluxe Upgrade,['Square Enix'],3035480,dlc,$20.00,0,"Aug 29, 2024","['Action', 'RPG']",['windows']
Sheep Sweep Playtest,[],3035520,game,$0.00,0,"Jul 14, 2024",[],['windows']
Escape from HAON ISLAND,['Sam Dah Studio'],3035530,game,$0.00,0,"Jul 18, 2024","['Indie', 'Free To Play']",['windows']
Kairos'Light - Vanilla,"['Manon Carrier', 'Jean-marc Vanbalberghe', 'Arnaud Vanbalberghe']",3035560,dlc,$0.00,0,"Jun 25, 2024","['Indie', 'Simulation', 'Free To Play']",['windows']
"Woohoo! - Game ""Math Path""",['Gray Swan Games'],3035590,dlc,$0.89,0,"Jul 23, 2024","['Casual', 'Indie', 'Strategy', 'Free To Play']",['windows']
"Woohoo! - Game ""Fourteens""",['Gray Swan Games'],3035600,dlc,$0.89,0,"Jul 23, 2024","['Casual', 'Indie', 'Strategy', 'Free To Play']",['windows']
"Woohoo! - Game ""Escape & Evade""",['Gray Swan Games'],3035610,dlc,$1.99,0,"Sep 30, 2024","['Casual', 'Indie', 'Strategy', 'Free To Play']",['windows']
Tuna Rice,['Konayachi'],3035620,game,$0.00,0,Coming Soon,"['Indie', 'Free To Play']","['windows', 'mac', 'linux']"
Lalli,['AcroGames'],3035640,game,$2.99,0,"Jun 20, 2024","['Action', 'Adventure']",['windows']
Anima Song from the Abyss Playtest,[],3035680,game,$0.00,0,"Jun 7, 2024",[],['windows']
USD Clicker,['RazDva Games'],3035710,game,$0.49,0,"Jun 20, 2024","['Casual', 'Indie', 'Simulation']",['windows']
Idles of Madness,['Possess Nothing Studios'],3035740,game,$0.00,0,Coming Soon,"['Casual', 'Simulation', 'Strategy']",['windows']
Unicycle Rage,['Foschiera Studio'],3035780,game,$4.99,0,"Aug 22, 2024","['Casual', 'Indie', 'Simulation', 'Sports']",['windows']
Bearnard Soundtrack,['Michał Wikliński'],3035840,music,$3.99,0,"Aug 12, 2024",[],"['windows', 'mac', 'linux']"
Slenderman: Shadow of the Forest,['BugTeam'],3035850,game,$4.99,0,"Nov 23, 2024","['Adventure', 'Indie']",['windows']
KAXUKI,['N3X Labs Private Limited'],3035860,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'Free To Play']",['windows']
Dream Runner,['Glass Arcade'],3035870,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']","['windows', 'mac']"
Devil's Drizzle,"['Cozy Creeps Games', 'Filipe Acosta']",3035880,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie']",['windows']
Fentanyl Edition,['Exezur'],3035890,game,$0.00,0,Coming Soon,"['Action', 'Indie']",['windows']
Slide! Demo,['Not The Loading Screen'],3035900,demo,$0.00,0,"Jun 17, 2024",[],['windows']
Atonia: Netorare Annals,['3Diddly Games'],3035910,game,$4.79,0,"Jul 11, 2024","['Adventure', 'Casual', 'Indie', 'RPG']",['windows']
Slide Treasures: Lydia's Hunt,['LUMA Gameworks'],3035920,game,$0.99,0,"Aug 1, 2024","['Casual', 'Indie']",['windows']
Lift Attendant,['Martilo Games'],3035940,game,$3.74,0,"Jul 31, 2024","['Casual', 'Indie']","['windows', 'mac']"
Xenospore,['Aviv Levy'],3034960,game,$0.00,0,Coming Soon,['Indie'],['windows']
HachikanShogi Matta Ari,['As-key'],3034970,game,$0.00,0,"Jul 6, 2024","['Casual', 'Free To Play']",['windows']
GTR - Garage Town Racing,['Messier Games'],3034980,game,$0.00,0,Coming Soon,"['Racing', 'Simulation', 'Free To Play']",['windows']
Trial Traction Demo,['Ilidiah Games'],3034990,demo,$0.00,0,"Jun 26, 2024",[],['windows']
SuperSerpentSnake3D,['HTNG Studio'],3035000,game,$4.99,0,"Oct 19, 2024","['Action', 'Casual', 'Indie']",['windows']
Deep Cuts,['Scythe Dev Team'],3035010,game,$0.00,0,Coming Soon,['Action'],['windows']
One more! 🍺,['Big Hands Game'],3035020,game,$0.00,0,"Aug 9, 2024","['Casual', 'Indie', 'Simulation', 'Free To Play']",['windows']
TILT Demo,['Stopshut Games'],3035050,demo,$0.00,0,"Jun 10, 2024",[],['windows']
Legions,['Mindscape'],3035080,game,$5.99,0,"Dec 4, 2024",['Strategy'],['windows']
You Must Retry,['under64'],3035100,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'RPG']",['windows']
College Basketball Manager Playtest,[],3035170,game,$0.00,0,"Jul 1, 2024",[],['windows']
ZombCube,"[""MM's Gaming Community LLC""]",3035180,game,$0.00,0,"Jun 24, 2024","['Action', 'Indie', 'Free To Play']",['windows']
Gori: Cuddly Carnage - Neon Neko Skin Pack,['Angry Demon Studio'],3035200,dlc,$2.99,0,"Aug 29, 2024","['Action', 'Adventure', 'Indie']",['windows']
Gori: Cuddly Carnage - Dragon Skin Pack,['Angry Demon Studio'],3035210,dlc,$1.99,0,"Aug 29, 2024","['Action', 'Adventure', 'Indie']",['windows']
Gori: Cuddly Carnage - Change Skin Pack,['Angry Demon Studio'],3035220,dlc,$0.00,0,"Aug 29, 2024","['Action', 'Adventure', 'Indie', 'Free To Play']",['windows']
Gori: Cuddly Carnage - Catbox Skin Pack,['Angry Demon Studio'],3035230,dlc,$0.00,0,"Aug 29, 2024","['Action', 'Adventure', 'Indie', 'Free To Play']",['windows']
Gori: Cuddly Carnage - PlayTime Skin Pack,['Angry Demon Studio'],3035240,dlc,$0.00,0,"Aug 29, 2024","['Action', 'Adventure', 'Indie', 'Free To Play']",['windows']
Denizen's Den - Deeper Edition,"['Christopher Nickels', 'Jason Davis', 'Ben Lake']",3035250,game,$1.19,0,"Nov 1, 2024","['Adventure', 'Casual', 'Indie', 'RPG']",['windows']
Gori: Cuddly Carnage - Artbook,['Angry Demon Studio'],3035260,dlc,$4.99,0,"Aug 29, 2024","['Action', 'Adventure', 'Indie']",['windows']
Backrooms Liminality,['Cynical Revolution'],3035270,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie', 'Free To Play']",['windows']
Rogue Process,['Scrapbox Software'],3035290,game,$0.00,0,Coming Soon,['Action'],['windows']
MarbleGP,['Christian Keimel'],3035300,game,$0.00,0,"Nov 3, 2024","['Casual', 'Indie', 'Racing', 'Sports', 'Free To Play']",['windows']
Femdom Wife Game - Emily,['Femdom Wife Game'],3035310,game,$0.00,0,Coming Soon,"['Adventure', 'Casual', 'Simulation', 'Early Access']","['windows', 'mac', 'linux']"
Zombie God,['Codematik'],3035320,game,$0.00,0,Coming Soon,"['Simulation', 'Strategy']",['windows']
Dicealot,['goodviewgames'],3035330,game,$0.00,0,Coming Soon,"['Casual', 'Indie', 'Strategy']",['windows']
Magical Merge: Fairy Adventure,['Magical Merge'],3035340,game,$0.00,0,Coming Soon,"['Adventure', 'Casual', 'Indie', 'Simulation']",['windows']
Hop 'n' Marty,['Evilkookey Games'],3035360,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie']",['windows']
Spotless Demo,['Ghostie Games'],3035370,demo,$0.00,0,"Jun 9, 2024",[],"['windows', 'linux']"
Wolf Hero: Animals vs Robots,['Avelog Games'],3035400,game,$4.99,0,"Aug 3, 2024","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",['windows']
Battledroid Next Fest Demo,['Puppygames'],3035410,demo,$0.00,0,"Jun 16, 2024",[],"['windows', 'linux']"
SIPE,['Felix Garbe'],3035430,game,$9.99,0,"Dec 9, 2024",['Casual'],"['windows', 'linux']"
Cute Dogs Slide,['SimpleLaxStudio'],3035440,game,$1.19,0,"Jun 21, 2024","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",['windows']
Skullivan's,['Ghastly Games'],3035450,game,$0.00,0,Coming Soon,"['Casual', 'Simulation', 'Strategy']",['windows']
Kurisu,['AimesSoft'],3034460,game,$3.99,0,"Jul 17, 2024","['Audio Production', 'Design & Illustration', 'Photo Editing', 'Utilities', 'Video Production']","['windows', 'mac', 'linux']"
Witch Way Demo,['e-sheep'],3034490,demo,$0.00,0,"Oct 15, 2024",[],['windows']
Starfell,['Rogue Duck Interactive'],3034510,game,$0.00,0,Coming Soon,"['Casual', 'Indie', 'RPG', 'Strategy']","['windows', 'mac', 'linux']"
Zilar: Empire Of The Underground,['Sthard Game'],3034530,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie']",['windows']
The Oneironaut,['Jetebra Games'],3034550,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie']",['windows']
Mysteries of Perception,['50 Rats Games'],3034580,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']",['windows']
Chapatriste,['Campus Cámara de Sevilla - Centro FP Superior'],3034590,game,$0.00,0,"Jul 4, 2024","['Action', 'Indie', 'Free To Play']",['windows']
Drum Revolution,['GroovIT'],3034630,game,$14.99,0,"Jul 24, 2024","['Indie', 'Early Access']","['windows', 'mac']"
Distraught,['Chris Donutello'],3034640,game,$0.00,0,Coming Soon,['Indie'],['windows']
Abrasion,['Studio Laaya'],3034670,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']",['windows']
BattleCards Saga,['GLHF Studio'],3034680,game,$12.99,0,"Oct 28, 2024","['Indie', 'Strategy']",['windows']
Be the Ruler: Britannia Demo,['BeardedBrothers.games'],3034700,demo,$0.00,0,"Jun 10, 2024",[],['windows']
Pop Art,['Oleksiy Shtykov'],3034710,game,$6.99,0,"Jun 24, 2024","['Casual', 'Indie']",['windows']
Love hotel exit 8,['Robot'],3034740,game,$0.00,0,Coming Soon,"['Adventure', 'Indie', 'RPG', 'Simulation']",['windows']
Frog Holm,['Ostend Games'],3034750,game,$0.00,0,Coming Soon,"['Adventure', 'Casual', 'Indie']",['windows']
Wukong Survivors Demo,['Seal233'],3034780,demo,$0.00,0,"Aug 15, 2024","['Action', 'Indie']",['windows']
无限RPG Demo,['不老之泉水'],3034800,demo,$0.00,0,"Nov 10, 2024",[],['windows']
STRIKER!,['TEAM//OURO'],3034810,game,$0.00,0,Coming Soon,"['Casual', 'Indie', 'Sports']",['windows']
Voltage High Society Demo,['Platonic Partnership'],3034830,demo,$0.00,0,"Jun 7, 2024",[],['windows']
Ludo: Animal Heroes,['Oxyverse'],3034840,game,$0.00,0,Coming Soon,"['Casual', 'Strategy', 'Free To Play']",['windows']
VR Kart 360*,['Genie Gaming'],3034870,game,$4.99,0,"Jul 23, 2024","['Racing', 'Sports']",['windows']
Jigs4w3D - My Photos DLC,['WOMBEX Games'],3034880,dlc,$2.39,0,"Jun 24, 2024","['Casual', 'Indie', 'Simulation', 'Free To Play']",['windows']
Jigs4w3D - Futuristic Apartment Environment DLC,['WOMBEX Games'],3034890,dlc,$0.89,0,"Jun 24, 2024","['Casual', 'Indie', 'Simulation', 'Free To Play']",['windows']
Jigs4w3D - Loft Office Environment DLC,['WOMBEX Games'],3034910,dlc,$0.89,0,"Jun 24, 2024","['Casual', 'Indie', 'Simulation', 'Free To Play']",['windows']
Shadowtime,"['Institute of Time', 'Onassis ONX studio']",3034920,game,$5.39,0,"Jul 10, 2024",['Indie'],['windows']
Euro Truck Simulator 2 - Kässbohrer Trailer Pack,['SCS Software'],3034950,dlc,85₴,133,18 сен. 2024 г.,"['Инди', 'Симуляторы']","['windows', 'mac', 'linux']"
Bounce Ball,['Yu Ro'],3033960,game,$0.74,0,"Jul 15, 2024","['Casual', 'Indie']","['windows', 'mac']"
IVOR,['MoonMuse Entertainment'],3033980,game,$0.00,0,Coming Soon,"['Action', 'Indie']",['windows']
DREAMOUT Demo,['Game Dynasty'],3034000,demo,$0.00,0,"Jun 7, 2024",[],['windows']
The Deepwater Witch Demo,['Chattercap'],3034040,demo,$0.00,0,"Jun 5, 2024",[],"['windows', 'mac', 'linux']"
Virtudio,['bibimble'],3034060,game,$0.00,0,"Aug 8, 2024","['Free To Play', 'Utilities', 'Early Access']",['windows']
Spy Drops,['Rainy Night Creations'],3034070,game,$0.00,0,Coming Soon,"['Action', 'Indie']",['windows']
Thus Spoke the Donke Demo,['Wise Monke Entertainment Studio'],3034080,demo,$0.00,0,"Jun 10, 2024",[],['windows']
Merchant's Odyssey Demo,['Unlucky Dwarf'],3034110,demo,$0.00,0,"Jun 9, 2024",[],['windows']
I am Sorry,['Futuregen Games'],3034120,game,$0.86,0,"Aug 8, 2024","['Adventure', 'Indie']",['windows']
Love is...,['LUNOSOFT INC'],3034130,game,$5.99,162,"Aug 26, 2024","['Casual', 'Indie']",['windows']
Casino Island Simulator: Prologue,['Clap Games'],3034140,game,$0.00,0,"Aug 9, 2024","['Casual', 'Indie', 'Simulation', 'Free To Play']",['windows']
Rogueween,['DeveloperDavid'],3034150,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'RPG', 'Strategy']",['windows']
Split Spirit,['Cosmic Canines'],3034160,game,$0.00,0,"Aug 23, 2024","['Action', 'Free To Play']",['windows']
Daimyo Reign,['koichark'],3034170,game,$0.00,0,Coming Soon,"['Indie', 'Simulation', 'Strategy']",['windows']
Witch Way,['e-sheep'],3034180,game,$0.00,0,Coming Soon,"['Indie', 'Strategy']",['windows']
Knight's Eclipse,['Flat Coaster'],3034190,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",['windows']
Virtudio playtest,[],3034200,game,$0.00,0,"Jun 20, 2024",[],['windows']
Undercroft Demo,"[""Janet's Cool Games""]",3034210,demo,$0.00,0,"Jun 13, 2024",[],['windows']
Strange Seed Playtest,[],3034220,game,$0.00,0,"Jul 10, 2024",[],['windows']
Weirdo Playtest,[],3034240,game,$0.00,0,"Dec 11, 2024",[],['windows']
Let's Build a Dungeon Playtest,[],3034250,game,$0.00,0,"Aug 25, 2024",[],['windows']
Loot Goblin Inc.,['kobemano'],3034290,game,$0.00,0,Coming Soon,"['Adventure', 'Indie', 'Simulation']",['windows']
Brendon's Water Polo,['Vincent Tulleners'],3034300,game,$8.99,0,"Jun 21, 2024","['Action', 'Casual', 'Sports']","['windows', 'mac', 'linux']"
Hunter's Arena: Revolution Playtest,[],3034310,game,$0.00,0,"Dec 3, 2024",[],['windows']
ワールド・ネバーランド～オルルド王国物語～EXPERIENCE OF FICTION LIFE,['althi Inc.'],3034330,game,$24.99,0,"Nov 19, 2024","['Adventure', 'RPG', 'Simulation']",['windows']
Maid Cafe on Electric Street Demo,"[""Adventurer's Tavern""]",3034380,demo,$0.00,0,"Jun 10, 2024",[],['windows']
Clare's Escape,['Human Sense Design'],3034440,game,$1.49,0,"Sep 18, 2024","['Adventure', 'Indie']",['windows']
流る星 -a wish star-,['NANACAN'],3034450,game,$7.19,108,"Aug 1, 2024","['Adventure', 'Casual']",['windows']
Alister In Wonderland Demo,['JuiceBox Indie'],3033460,demo,$0.00,0,"Jun 6, 2024",[],['windows']
From The Mystery Zone,['kakeia'],3033470,game,$4.93,0,"Jun 27, 2024","['Action', 'Adventure', 'Casual', 'Indie']",['windows']
Hotel Tome ws,['Team Tome'],3033490,game,$0.00,0,"Aug 23, 2024","['Adventure', 'Indie', 'Free To Play']",['windows']
Vectic: Boosted,['Archangel Softworks'],3033510,game,$1.99,0,"Jul 18, 2024",['Racing'],['windows']
OYASUMII,['NEO PROJECT Studios'],3033520,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie']","['windows', 'mac', 'linux']"
Kira Legends Demo,['DragonFall Studios'],3033530,demo,$0.00,0,"Jun 5, 2024",[],['windows']
Fast Running,['FR games'],3033540,game,$1.39,0,"Jun 21, 2024","['Adventure', 'Casual', 'Racing', 'Strategy']",['windows']
Bajka,['Vladimir Kudelka'],3033560,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie']","['windows', 'mac', 'linux']"
BloodLight Demo,['Galactic Games'],3033640,demo,$0.00,0,"Jun 20, 2024",[],['windows']
Dragonscale Monastery Demo,['Cleversan Games'],3033650,demo,$0.00,0,"Oct 14, 2024","['Indie', 'Strategy']",['windows']
Unlanded Soundtrack,['Eki-Eki-Eki'],3033670,music,$3.99,0,"Jun 7, 2024",[],"['windows', 'mac', 'linux']"
Fallen Seeds Artbook,['KPD'],3033680,dlc,$2.99,0,"Jun 19, 2024","['Adventure', 'Indie']","['windows', 'mac', 'linux']"
Fallen Seeds Artbook Extra,['KPD'],3033690,dlc,$1.79,0,"Jun 26, 2024","['Adventure', 'Indie']","['windows', 'mac', 'linux']"
Nia: Jewel Hunter,['ByPuziki Games'],3033710,game,$0.00,0,Coming Soon,"['Adventure', 'Casual', 'Indie']",['windows']
KunKun dream Startles the Soul-Ghost animal cosplay,['LDGHH'],3033720,dlc,$1.49,0,"Jul 7, 2024","['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Sports', 'Strategy']",['windows']
Nine Lives Ninja: Survive!,['JX Games'],3033730,game,$0.00,0,Coming Soon,"['Action', 'Casual', 'Indie']",['windows']
Valourglade,['Sean Martin'],3033740,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie']","['windows', 'mac']"
Le Gardien du Savoir,['Mathieu Ledru'],3033760,game,$0.00,0,Coming Soon,"['Adventure', 'Free To Play']","['windows', 'mac', 'linux']"
Seventh Choir,['Ovsko'],3033770,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie']",['windows']
Roman Trail,['Praetorian Studios'],3033780,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'Strategy']",['windows']
Bazaar Simulator Prologue,['Mithra Interactive'],3033810,game,$0.00,0,"Jul 22, 2024","['Casual', 'Indie', 'Simulation', 'Free To Play']",['windows']
Eternal Vampire,['Redex Entertainment'],3033820,game,$0.99,0,"Jul 12, 2024","['Action', 'Adventure', 'Indie']",['windows']
Bloodwood Dungeon Demo,['Nimavoha Interactive'],3033830,demo,$0.00,0,"Jun 6, 2024",[],['windows']
Endless Return Demo,['DEADMAP'],3033860,demo,$0.00,0,"Jun 9, 2024","['Action', 'Casual', 'Indie', 'RPG', 'Strategy']",['windows']
Death Machine Demo,['Philip Froelich'],3033870,demo,$0.00,0,"Jun 10, 2024",[],['windows']
Quescaper,['Neki4 Electronics'],3033880,game,$29.99,0,"Jun 19, 2024","['Action', 'Adventure', 'Casual']",['windows']
The Quiet Room,['Indie Terminate Forms'],3033890,game,$0.00,0,Coming Soon,"['Casual', 'Indie']",['windows']
Metamorphosis,['AKAI KIRI'],3033900,game,$1.29,0,"Aug 30, 2024","['Adventure', 'Indie']",['windows']
Contained Playtest,[],3033920,game,$0.00,0,"Jun 12, 2024",[],['windows']
Feed The Gods Demo,['TedRed'],3033940,demo,$0.00,0,"Oct 14, 2024","['Casual', 'Indie', 'Strategy']",['windows']
Slalomancers,['Kwing'],3033950,game,$4.99,0,"Oct 2, 2024","['Action', 'Casual', 'Indie']",['windows']
HYPERFIGHT 2,['studio joh'],3032970,game,$0.00,0,Coming Soon,"['Action', 'Casual', 'Indie']","['windows', 'mac', 'linux']"
Anomalous Crossing ~Shibuya~,['Liner Studio'],3032980,game,$4.79,0,"Jul 17, 2024","['Action', 'Adventure', 'Indie', 'Simulation']",['windows']
Divinastros,['Astral Game Studio'],3033030,game,$0.00,0,Coming Soon,"['Casual', 'Indie', 'Strategy']",['windows']
Iron Apartment Guardian,['GEIRDEV'],3033050,game,$4.99,0,"Aug 28, 2024","['Action', 'Indie']","['windows', 'mac']"
Wukong Survivors ：Begin,['Seal233'],3033080,game,$0.00,0,Coming Soon,"['Action', 'Free To Play']",['windows']
Secret Enemy : Cosmic fighting,['08Night Games'],3033090,game,$4.99,0,"Jul 16, 2024","['Action', 'Adventure', 'Casual', 'Indie']",['windows']
D.H.M. Demo,['Guillaume Opoix'],3033110,demo,$0.00,0,"Jun 6, 2024",[],['windows']
Sombra,['SytoDev'],3033120,game,$0.00,0,Coming Soon,"['Adventure', 'Casual', 'Indie']",['windows']
QuickCalculation,['MistGame'],3033130,game,$1.59,0,"Jun 28, 2024",['Casual'],['windows']
Penguin Take-Off!! Demo,['nicecarri'],3033170,demo,$0.00,0,"Jun 21, 2024",[],['windows']
Ancient Demon Shadow,['WJLE'],3033180,game,$6.99,0,"Aug 2, 2024","['Action', 'Adventure', 'Indie', 'Racing', 'RPG', 'Strategy']",['windows']
Demon Still Alive,['2.0 Creation'],3033190,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie']",['windows']
The Soul Inside Us,['IV Games'],3033200,game,$3.99,0,"Nov 1, 2024","['Action', 'Adventure', 'Indie', 'Strategy']",['windows']
ITribe Demo,['Keka'],3033210,demo,$0.00,0,"Jun 12, 2024",[],['windows']
The Last Hollow,['Hollow Cat Studio'],3033220,game,$2.49,0,"Aug 14, 2024","['Action', 'Adventure', 'Casual', 'Indie']","['windows', 'linux']"
Bookworm,['Bjørnar Prytz'],3033230,game,$0.99,0,"Sep 7, 2024","['Casual', 'Indie']",['windows']
BAB Demo,['Real Glitter'],3033240,demo,$0.00,0,"Jun 15, 2024",[],['windows']
Diving Focus,['SUDT Games'],3033310,game,$0.00,0,Coming Soon,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Early Access']",['windows']
KunKun dream Startles the Soul-Kunkunzi,['LDGHH'],3033330,dlc,$1.49,0,"Jul 7, 2024","['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Sports', 'Strategy']",['windows']
SVA,['M0t10nM1nd'],3033340,game,$8.99,0,"Nov 22, 2024","['Casual', 'Indie', 'Strategy']",['windows']
DragonMirroreD with Hyoga & Magma Demo ver.,"['Hyoga the Juggling Dragon', 'ジャグリングドラゴンヒョウガ']",3033400,demo,$0.00,0,"Jun 20, 2024",[],"['windows', 'mac']"
그랑 엠파이어 : 그래픽 리마스터,['유진게임즈'],3033410,game,$5.39,0,"Jul 25, 2024","['Casual', 'Indie', 'Simulation']",['windows']
Trapped Out,['Smallhousegame'],3033430,game,$0.00,0,Coming Soon,['Indie'],['windows']
"So, This Vampire Walks into a Bar Demo",['Unlucky Planet Games'],3033440,demo,$0.00,0,"Jun 27, 2024",[],"['windows', 'mac']"
PinDrop: Escape The Room,['Kyrel'],3032460,game,$3.39,0,"Aug 9, 2024","['Indie', 'Simulation']",['windows']
Spyrit Walker Demo,['Rexoto Games'],3032470,demo,$0.00,0,"Jun 8, 2024","['Action', 'Adventure', 'Indie']",['windows']
Big Heavy Demo,['Stumphead Games LLC'],3032480,demo,$0.00,0,"Jun 10, 2024",[],['windows']
The ultimate Math teaching game Demo,['MARK MISIN ENGINEERING LTD'],3032490,demo,$0.00,0,"Jun 5, 2024",[],['windows']
BLUMA,['Potaco Studio'],3032520,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']","['windows', 'mac', 'linux']"
Grocery Simulator,['Roman Savenok'],3032530,game,$2.49,0,"Aug 27, 2024","['Action', 'Indie', 'Simulation']",['windows']
Triad,['Fishtank Games'],3032540,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'RPG']",['windows']
Jam Jump,['Galactic Geckon'],3032560,game,$3.99,0,"Jun 19, 2024",['Casual'],['windows']
洞石火 Soundtrack,['伤官制作组'],3032570,music,$0.99,0,"Jun 18, 2024",[],"['windows', 'mac', 'linux']"
Pixel Golf Club,['Galactic Geckon'],3032590,game,$2.99,0,"Jun 20, 2024",['Casual'],['windows']
Raceborn,['Galactic Geckon'],3032600,game,$1.49,0,"Jun 19, 2024",['Racing'],['windows']
Space Gray X,['Galactic Geckon'],3032610,game,$1.49,0,"Jun 20, 2024",['Casual'],['windows']
Sus Virus Amogus,['Galactic Geckon'],3032660,game,$1.99,0,"Jun 20, 2024",['Action'],['windows']
Tomb Stalkers Demo,['Itchy Games'],3032670,demo,$0.00,0,"Sep 23, 2024","['Action', 'Indie']","['windows', 'mac', 'linux']"
Tomb Stalkers Soundtrack,['Itchy Games'],3032680,music,$6.99,0,"Dec 6, 2024",[],"['windows', 'mac', 'linux']"
Fadedlands Demo,['ForindGames'],3032690,demo,$0.00,0,"Jun 25, 2024",[],['windows']
Sunset Devils Demo,['illseer'],3032700,demo,$0.00,0,"Jun 8, 2024","['Action', 'Adventure']",['windows']
Dead Detention (Rescribbled) Soundtrack,['Jack Astral'],3032710,music,$1.99,0,"Oct 10, 2024",[],"['windows', 'mac', 'linux']"
洞石火 Artbook,['伤官制作组'],3032720,dlc,$0.99,0,"Jun 9, 2024",['Indie'],"['windows', 'mac', 'linux']"
Philosopher's Stone,['Fahad Alghamdi'],3032730,game,$0.00,0,Coming Soon,"['Indie', 'Massively Multiplayer', 'Strategy']",['windows']
