name,developers,appid,type,price,ratings,release date,genres,platforms
Ship of a Dream Playtest,[],2972080,game,$0.00,0,"May 6, 2024",[],['windows']
Spellagis,['Shokin_dev'],2972090,game,$3.49,0,"Oct 10, 2024","['Action', 'Casual', 'RPG']",['windows']
Day of Atonement,['Similitude'],2972120,game,$0.00,0,"May 17, 2024","['Adventure', 'Simulation', 'Free To Play']",['windows']
Pirate Combat Trainer,['Ember Wing Productions'],2972140,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie']",['windows']
nerd: tracing dayline,['Evan'],2972180,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']",['windows']
Only Way is Down Demo,['Jilted Generation Productions'],2972190,demo,$0.00,0,"Jun 9, 2024",[],['windows']
Microsoft Allegiance Playtest,[],2972210,game,$0.00,0,"May 5, 2024",[],['windows']
Demonherd,['Alessandro Corvi'],2972220,game,$0.00,0,Coming Soon,"['Adventure', 'Indie', 'RPG']",['windows']
Train Sim World® 5: HKA Bogie Hopper Wagon Pack,['Dovetail Games'],2971250,dlc,$5.99,0,"Dec 12, 2024",['Simulation'],['windows']
Train Sim World® 5: DB BR 111 & n-Wagen Pack,['Dovetail Games'],2971260,dlc,$5.99,0,"Dec 12, 2024",['Simulation'],['windows']
Our War: The Strongest Shield,['Chengdu Old Man'],2971280,game,$17.49,0,"May 29, 2024","['Casual', 'Simulation', 'Strategy']",['windows']
Симулятор Русской Деревни на Марсе Demo,['VD Games'],2971340,demo,$0.00,0,"Jun 10, 2024","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",['windows']
Combat Mission: Battle for Normandy - Battle Pack 2,['Battlefront'],2971350,dlc,$4.99,0,"Jun 6, 2024",['Strategy'],['windows']
Metal Queen Dungeon,['KRAKL Games'],2971360,game,$3.99,0,"Jul 15, 2024","['Indie', 'Strategy']",['windows']
Dying Light - Standard To Enhanced Upgrade,['Techland'],2971370,dlc,$9.99,0,"May 9, 2024","['Action', 'RPG']",['windows']
Dying Light - Standard To Definitive Upgrade,['Techland'],2971380,dlc,$29.99,0,"May 9, 2024","['Action', 'RPG']",['windows']
Project Adrenaline Playtest,[],2971400,game,$0.00,0,"May 17, 2024",[],['windows']
Echo of Prypiat,['Chornozem Interactive'],2971430,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']",['windows']
Miko Sniper,['さめGames'],2971440,game,$2.79,0,"Jun 7, 2024",['Strategy'],['windows']
Unicopia,['Squeaky Pig Studios'],2971450,game,$2.09,0,"Sep 27, 2024",['Action'],"['windows', 'mac', 'linux']"
Emberfall Playtest,[],2971460,game,$0.00,0,"May 10, 2024",[],['windows']
Throne of Rebirth - Illustrations & Character Dossiers,['crobatspr'],2971490,dlc,$1.79,0,"May 13, 2024","['Casual', 'Indie', 'RPG', 'Strategy', 'Free To Play']",['windows']
Fast Food - Restaurant Simulator,['Duality Games'],2971500,game,$0.00,0,Coming Soon,['Simulation'],['windows']
Prologue: Fish idle 2,['MulticastGames'],2971510,game,$0.00,0,"Aug 2, 2024","['Adventure', 'Casual', 'Indie', 'Free To Play']",['windows']
Venusville,['8 Continents ltd'],2971520,game,$0.00,0,Coming Soon,"['Indie', 'Simulation', 'Strategy']",['windows']
ViReFrame Playtest,[],2971530,game,$0.00,0,"Jun 4, 2024",[],['windows']
Among Us VR - Glove Pack: Catch Deez Hands,"['Schell Games', 'Innersloth LLC', 'Robot Teddy']",2971550,dlc,$5.59,0,"Jun 13, 2024",['Casual'],['windows']
Star Leaping Story Soundtrack,['ZerovHao'],2971560,music,$2.99,0,"Jun 27, 2024",[],['windows']
Heroglobin: Monster Hospital,['Team TripleFire'],2971590,game,$0.00,0,Coming Soon,"['Action', 'RPG']",['windows']
A Fistful Of Yankees Playtest,[],2971600,game,$0.00,0,"Jun 18, 2024",[],['windows']
HOLE,['NEGAFISH'],2971610,game,$4.99,0,"Nov 28, 2024","['Action', 'Indie']",['windows']
My Hobby: Needlework Galore DLC - Household,['Graphium Studio'],2971620,dlc,$1.39,0,"May 29, 2024",['Casual'],['windows']
PlasticFighter,['HORGAME'],2971630,game,$0.50,0,"May 16, 2024","['Action', 'Indie', 'Simulation']",['windows']
LEGO® Horizon Adventures™ - Upgrade to Digital Deluxe Edition,"['Guerrilla', 'Studio Gobo']",2971640,dlc,$0.00,0,"Nov 14, 2024","['Action', 'Adventure']",['windows']
Infernal Hunt,['Digital Road Games'],2971650,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'RPG']",['windows']
InTheDisorderlyCourtyard,['wulongooo'],2971660,game,$3.99,0,"May 30, 2024","['Adventure', 'Casual', 'Indie']",['windows']
The Ethernal Spiral,['Chic Build'],2971680,game,$0.00,0,"May 30, 2024","['Action', 'Adventure', 'Free To Play']",['windows']
Phyto Demo,['aXelis'],2971690,demo,$0.00,0,"May 28, 2024",[],"['windows', 'linux']"
Ingression Soundtrack,['Espale Studios'],2971740,music,$1.49,0,"Jun 27, 2024",[],"['windows', 'mac', 'linux']"
Train Sim World® 5: ScotRail BR Class 380 EMU Add-On,['Dovetail Games'],2970760,dlc,$11.89,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Avanti West Coast BR Class 390 Pendolino EMU Add-On,['Dovetail Games'],2970820,dlc,$16.09,0,"Sep 17, 2024",['Simulation'],['windows']
Train Sim World® 5: FlixTrain BR 193 Vectron Loco Add-On,['Dovetail Games'],2970830,dlc,$11.89,0,"Sep 17, 2024",['Simulation'],['windows']
Dark & Quispy,['Onyx Labs'],2970990,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",['windows']
Whisper Of The Shade: Gray,"['HAPPYTUK CO.,LTD.']",2971000,game,$9.99,0,"Sep 27, 2024",['Simulation'],['windows']
Femdom Farm,['Femdom studio'],2971010,game,$8.39,0,"Aug 15, 2024",['Simulation'],['windows']
Warlords Battle Simulator Demo,['RedKar Devs'],2971080,demo,$0.00,0,"May 7, 2024",[],['windows']
Stickman Adventure,['Roasty Games'],2971090,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie']",['windows']
Stickman Adventure Demo,['Roasty Games'],2971100,demo,$0.00,0,"May 31, 2024",[],['windows']
Project Adrenaline,"['Striked GmbH', 'Bismuth Studio']",2971120,game,$0.00,0,Coming Soon,"['Action', 'Early Access']","['windows', 'mac', 'linux']"
Train Sim World® 5: Metrolink Holiday Train Pack,['Dovetail Games'],2971240,dlc,$5.99,0,"Dec 12, 2024",['Simulation'],['windows']
Train Sim World® 5: The Holiday Express - Runaway Elf,['Dovetail Games'],2970250,dlc,$2.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: ScotRail Express: Edinburgh - Glasgow Route Add-On,['Rivet Games'],2970260,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: West Cornwall Steam Railtour Add-On,['Rivet Games'],2970270,dlc,$5.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Amtrak's Acela®,['Dovetail Games'],2970280,dlc,$9.19,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Thameslink BR Class 700/0 EMU Add-On,['Dovetail Games'],2970290,dlc,$5.09,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Northeast Corridor: New York - Trenton,['Dovetail Games'],2970300,dlc,$7.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Peak Forest Railway: Ambergate - Chinley & Buxton Route Add-On,['Dovetail Games'],2970310,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Blackpool Branches: Preston - Blackpool & Ormskirk Route Add-On,['Just Trains'],2970320,dlc,$19.59,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Linke Rheinstrecke: Mainz - Koblenz Route Add-On,['Dovetail Games'],2970330,dlc,$19.99,0,"Aug 20, 2024",['Simulation'],['windows']
BACKROOMS INVASION Demo,"['Rosa Special Studio', 'Grand Technology Associates']",2970340,demo,$0.00,0,Coming Soon,[],['windows']
Train Sim World® 5: Midland Main Line: Leicester - Derby & Nottingham Route Add-On,['Skyhook Games'],2970350,dlc,$19.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: BNSF SD70ACe Add-On,['Dovetail Games'],2970360,dlc,$2.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Rail Operations Group BR Class 37/7 Add-On,['Dovetail Games'],2970370,dlc,$2.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: DB BR 403 ICE 3 Railbow Add-On,['Dovetail Games'],2970380,dlc,$2.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Railpool BR 193 Vectron Loco Add-On,['Dovetail Games'],2970390,dlc,$6.79,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Glossop Line: Manchester - Hadfield & Glossop Route Add-On,['Dovetail Games'],2970400,dlc,$4.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: LNER Class A3 60103 Flying Scotsman Steam Loco Add-On,['Dovetail Games'],2970410,dlc,$6.79,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Antelope Valley Line: Los Angeles - Lancaster Route Add-On,['Dovetail Games'],2970420,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: East Coast Main Line: Peterborough - Doncaster Route Add-On,['Dovetail Games'],2970430,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: S-Bahn Vorarlberg: Lindau - Bludenz Route Add-On,['Dovetail Games'],2970440,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Norfolk Southern Heritage Livery Collection Add-On,['Skyhook Games'],2970450,dlc,$11.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Maintalbahn: Aschaffenburg - Miltenberg Route Add-On,['Dovetail Games'],2970460,dlc,$14.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: RhB Arosa Aggregates Pack,['Rivet Games'],2970480,dlc,$7.49,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Cargo Line Vol. 1 - Petroleum,['Skyhook Games'],2970490,dlc,$10.49,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Centro Regional Railways BR Class 323 Add-On,['SimTrack Studios'],2970500,dlc,$4.19,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Edinburgh - Glasgow: Engineering Express Pack,['Rivet Games'],2970510,dlc,$5.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Berninalinie: Tirano - Ospizio Bernina Route Add-On,['Rivet Games'],2970520,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
"Train Sim World® 5: LIRR Commuter: New York - Long Beach, Hempstead & Hicksville Route Add-On",['Dovetail Games'],2970530,dlc,$23.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Bahnstrecke Salzburg - Rosenheim Route Add-On,['Dovetail Games'],2970540,dlc,$23.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: London Overground Suffragette line: Gospel Oak - Barking Riverside Route Add-On,['Dovetail Games'],2970550,dlc,$17.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Cargo Line Vol. 2 - Aggregates,['Skyhook Games'],2970560,dlc,$11.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Fife Circle Line & Levenmouth Rail Link Route Add-On,['Rivet Games'],2970580,dlc,$19.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: ScotRail BR Class 158 Sprinter DMU Add-On,['Skyhook Games'],2970610,dlc,$13.59,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Semmeringbahn: Wiener Neustadt - Mürzzuschlag Route Add-On,['Dovetail Games'],2970660,dlc,$21.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: DB BR 218 Diesel Loco Add-On,['TSG'],2970700,dlc,$17.99,0,"Aug 20, 2024",['Simulation'],['windows']
X-Plane 12 Add-on: Aerosoft - Airport Stuttgart,"['Stairport Sceneries', 'FlightSim Studio AG']",2969750,dlc,$16.74,0,"Sep 16, 2024",['Simulation'],"['windows', 'mac', 'linux']"
Train Sim World® 5: Diesel Legends of the Great Western Add-On,['Dovetail Games'],2969760,dlc,$9.19,0,"Aug 20, 2024",['Simulation'],['windows']
X-Plane 12 Add-on: FACO Simulations - F-15C Eagle,['FACO Simulations'],2969770,dlc,$29.99,0,"Jul 15, 2024",['Simulation'],"['windows', 'mac', 'linux']"
Train Sim World® 5: Clinchfield Railroad: Elkhorn - Dante Route Add-On,['Dovetail Games'],2969780,dlc,$8.99,0,"Aug 20, 2024",['Simulation'],['windows']
X-Plane 12 Add-on: Axonos - Varna Airport,['Axonos'],2969790,dlc,$19.99,0,"Jul 17, 2024",['Simulation'],"['windows', 'mac', 'linux']"
Train Sim World® 5: DB BR 101 Loco Add-On,['Dovetail Games'],2969800,dlc,$9.99,0,"Aug 20, 2024",['Simulation'],['windows']
X-Plane 12 Add-on: Axonos - Owen Roberts International Airport,['Axonos'],2969810,dlc,$19.99,0,"Jul 17, 2024",['Simulation'],"['windows', 'mac', 'linux']"
